label,state,confirmed,cured,death
1,Andhra Pradesh,83,0,
2,Andaman and Nicobar Islands,11,0,
3,Assam,1,0,
4,Bihar,23,1,
5,Chandigarh,16,0,
6,Chhattisgarh,11,0,
7,Delhi,158,2,
8,Goa,5,0,
9,Gujarat,87,6,
10,Haryana,64,0,
11,Himachal Pradesh,3,1,
12,Jammu and Kashmir,64,2,
13,Jharkhand,1,0,
14,Karnataka,109,3,
15,Kerala,264,2,
16,Ladakh,16,0,
17,Madhya Pradesh,66,3,
18,Maharashtra,341,9,
19,Manipur,1,0,
20,Mizoram,1,0,
21,Odisha,4,0,
22,Puducherry,4,0,
23,Punjab,43,3,
24,Rajasthan,96,0,
25,Tamil Nadu,240,1,
26,Telengana,97,3,
27,Uttarakhand,9,0,
28,Uttar Pradesh,117,2,
29,West Bengal,43,3,
