label,state,confirmed,cured,death
1,Andhra Pradesh,191,1.0,
2,Andaman and Nicobar Islands,10,0.0,
3,Arunachal Pradesh,1,0.0,
4,Assam,26,0.0,
5,Bihar,30,1.0,
6,Chandigarh,18,0.0,
7,Chhattisgarh,12,0.0,
8,Delhi,521,7.0,
9,Goa,7,0.0,
10,Gujarat,140,11.0,
11,Haryana,84,1.0,
12,Himachal Pradesh,7,1.0,
13,Jammu and Kashmir,110,2.0,
14,Jharkhand,3,0.0,
15,Karnataka,156,4.0,
16,Kerala,355,2.0,
17,Ladakh,24,0.0,
18,Madhya Pradesh,165,9.0,
19,Maharashtra,532,24.0,
20,Manipur,2,0.0,
21,Mizoram,1,0.0,
22,Odisha,20,0.0,
23,Puducherry,6,0.0,
24,Punjab,58,5.0,
25,Rajasthan,221,0.0,
26,Tamil Nadu,491,3.0,
27,Telengana,301,7.0,
28,Uttarakhand,24,0.0,
29,Uttar Pradesh,246,2.0,
30,West Bengal,90,3.0,
Total number of confirmed cases in India,3577*,358,,
