label,state,confirmed,cured,death
1,Andhra Pradesh,87,1,
2,Andaman and Nicobar Islands,10,0,
3,Assam,5,0,
4,Bihar,24,1,
5,Chandigarh,16,0,
6,Chhattisgarh,11,0,
7,Delhi,227,4,
8,Goa,5,0,
9,Gujarat,95,7,
10,Haryana,64,0,
11,Himachal Pradesh,4,1,
12,Jammu and Kashmir,64,2,
13,Jharkhand,1,0,
14,Karnataka,119,3,
15,Kerala,290,2,
16,Ladakh,16,0,
17,Madhya Pradesh,99,6,
18,Maharashtra,377,13,
19,Manipur,1,0,
20,Mizoram,1,0,
21,Odisha,4,0,
22,Puducherry,4,0,
23,Punjab,47,4,
24,Rajasthan,111,0,
25,Tamil Nadu,240,1,
26,Telengana,108,3,
27,Uttarakhand,9,0,
28,Uttar Pradesh,127,2,
29,West Bengal,59,3,
