label,state,confirmed,cured,death
1,Andhra Pradesh,9,0,0
2,Bihar,3,0,1
3,Chhattisgarh,1,0,0
4,Delhi,31,6,1
5,Gujarat,33,0,1
6,Haryana,28,11,0
7,Himachal Pradesh,3,0,1
8,Karnataka,41,3,1
9,Kerala,109,4,0
10,Madhya Pradesh,9,0,0
11,Maharashtra,101,0,2
12,Manipur,1,0,0
13,Mizoram,1,0,0
14,Odisha,2,0,0
15,Puducherry,1,0,0
16,Punjab,29,0,1
17,Rajasthan,32,3,0
18,Tamil Nadu,18,1,0
19,Telengana,35,1,0
20,Chandigarh,7,0,0
21,Jammu and Kashmir,7,1,0
22,Ladakh,13,0,0
23,Uttar Pradesh,35,11,0
24,Uttarakhand,4,0,0
25,West Bengal,9,0,1
