label,state,confirmed,cured,death
1,Andhra Pradesh,20,0,
2,Andaman and Nicobar Islands,9,0,
3,Bihar,11,1,
4,Chandigarh,8,0,
5,Chhattisgarh,7,0,
6,Delhi,55,2,
7,Goa,5,0,
8,Gujarat,59,5,
9,Haryana,50,0,
10,Himachal Pradesh,3,1,
11,Jammu and Kashmir,32,2,
12,Karnataka,81,3,
13,Kerala,197,1,
14,Ladakh,16,0,
15,Madhya Pradesh,30,2,
16,Maharashtra,211,6,
17,Manipur,1,0,
18,Mizoram,1,0,
19,Odisha,3,0,
20,Puducherry,1,0,
21,Punjab,39,1,
22,Rajasthan,58,0,
23,Tamil Nadu,53,1,
24,Telengana,67,1,
25,Uttarakhand,9,0,
26,Uttar Pradesh,76,0,
27,West Bengal,18,1,
