label,state,confirmed,cured,death
1,Andhra Pradesh,24,0.0,
2,Andaman and Nicobar Islands,9,0.0,
3,Bihar,15,1.0,
4,Chandigarh,8,0.0,
5,Chhattisgarh,7,0.0,
6,Delhi,93,2.0,
7,Goa,5,0.0,
8,Gujarat,70,6.0,
9,Haryana,54,0.0,
10,Himachal Pradesh,3,1.0,
11,Jammu and Kashmir,50,2.0,
12,Karnataka,88,3.0,
13,Kerala,221,1.0,
14,Ladakh,16,0.0,
15,Madhya Pradesh,47,3.0,
16,Maharashtra,223,8.0,
17,Manipur,1,0.0,
18,Mizoram,1,0.0,
19,Odisha,3,0.0,
20,Puducherry,1,0.0,
21,Punjab,39,1.0,
22,Rajasthan,62,0.0,
23,Tamil Nadu,71,1.0,
24,Telengana,72,1.0,
25,Uttarakhand,9,0.0,
26,Uttar Pradesh,93,0.0,
27,West Bengal,22,2.0,
Total number of confirmed cases in India,1251#,134,,
