label,state,confirmed,cured,death
1,Andhra Pradesh,363,7,6.0
2,Andaman and Nicobar Islands,11,0,0.0
3,Arunachal Pradesh,1,0,0.0
4,Assam,29,0,1.0
5,Bihar,60,0,1.0
6,Chandigarh,18,7,0.0
7,Chhattisgarh,18,9,0.0
8,Delhi,903,25,13.0
9,Goa,7,1,0.0
10,Gujarat,308,31,19.0
11,Haryana,177,29,3.0
12,Himachal Pradesh,28,6,1.0
13,Jammu and Kashmir,207,6,4.0
14,Jharkhand,14,0,1.0
15,Karnataka,207,31,6.0
16,Kerala,364,123,2.0
17,Ladakh,15,10,0.0
18,Madhya Pradesh,435,0,33.0
19,Maharashtra,1574,188,110.0
20,Manipur,2,1,0.0
21,Mizoram,1,0,0.0
22,Odisha,48,2,1.0
23,Puducherry,5,1,0.0
24,Punjab,132,5,11.0
25,Rajasthan,553,21,3.0
26,Tamil Nadu,911,44,8.0
27,Telengana,473,43,7.0
28,Tripura,1,0,0.0
29,Uttarakhand,35,5,0.0
30,Uttar Pradesh,431,32,4.0
31,West Bengal,116,16,5.0
Total number of confirmed cases in India,7447*,643,239,
