label,state,confirmed,cured,death
1,Andaman and Nicobar Islands,1,0,0.0
2,Andhra Pradesh,11,1,0.0
3,Bihar,6,0,1.0
4,Chandigarh,7,0,0.0
5,Chhattisgarh,6,0,0.0
6,Delhi,36,6,1.0
7,Goa,3,0,0.0
8,Gujarat,43,0,3.0
9,Haryana,30,11,0.0
10,Himachal Pradesh,3,0,1.0
11,Jammu and Kashmir,13,1,1.0
12,Karnataka,55,3,2.0
13,Kerala,118,6,0.0
14,Ladakh,13,0,0.0
15,Madhya Pradesh,20,0,1.0
16,Maharashtra,124,1,3.0
17,Manipur,1,0,0.0
18,Mizoram,1,0,0.0
19,Odisha,2,0,0.0
20,Puducherry,1,0,0.0
21,Punjab,33,0,1.0
22,Rajasthan,41,3,0.0
23,Tamil Nadu,26,1,1.0
24,Telengana,44,1,0.0
25,Uttarakhand,5,0,0.0
26,Uttar Pradesh,41,11,0.0
27,West Bengal,10,0,1.0
Total number of confirmed cases in India,647#,92,16,
