label,state,confirmed,cured,death
1,Andhra Pradesh,310,4.0,
2,Andaman and Nicobar Islands,10,0.0,
3,Arunachal Pradesh,1,0.0,
4,Assam,27,0.0,
5,Bihar,38,1.0,
6,Chandigarh,25,0.0,
7,Chhattisgarh,19,0.0,
8,Delhi,597,9.0,
9,Goa,7,0.0,
10,Gujarat,190,13.0,
11,Haryana,175,3.0,
12,Himachal Pradesh,20,1.0,
13,Jammu and Kashmir,120,2.0,
14,Jharkhand,4,0.0,
15,Karnataka,200,4.0,
16,Kerala,406,2.0,
17,Ladakh,24,0.0,
18,Madhya Pradesh,229,13.0,
19,Maharashtra,1097,64.0,
20,Manipur,2,0.0,
21,Mizoram,1,0.0,
22,Odisha,44,1.0,
23,Puducherry,6,0.0,
24,Punjab,95,7.0,
25,Rajasthan,349,3.0,
26,Tamil Nadu,709,7.0,
27,Telengana,462,7.0,
28,Tripura,1,0.0,
29,Uttarakhand,36,0.0,
30,Uttar Pradesh,369,3.0,
31,West Bengal,112,5.0,
Total number of confirmed cases in India,5274*,560,,
