label,state,indian_confirmed,foreign_confirmed,cured,death
1,Andhra Pradesh,1,0,0,0
2,Delhi,9,1,2,1
3,Haryana,2,14,0,0
4,Karnataka,11,0,0,1
5,Kerala,25,2,3,0
6,Maharashtra,38,3,0,1
7,Odisha,1,0,0,0
8,Punjab,1,0,0,0
9,Rajasthan,2,2,3,0
10,Tamil Nadu,1,0,0,0
11,Telengana,3,2,1,0
12,Union Territory of Jammu and Kashmir,3,0,0,0
13,Union Territory of Ladakh,8,0,0,0
14,Uttar Pradesh,15,1,5,0
15,Uttarakhand,1,0,0,0
16,West Bengal,1,0,0,0
Total number of confirmed cases in India,122,"
25
","
14
","
3
"
