label,state,confirmed,cured,death
1,Andhra Pradesh,354,4.0,
2,Andaman and Nicobar Islands,11,0.0,
3,Arunachal Pradesh,1,0.0,
4,Assam,28,0.0,
5,Bihar,39,1.0,
6,Chandigarh,25,0.0,
7,Chhattisgarh,19,0.0,
8,Delhi,690,9.0,
9,Goa,7,0.0,
10,Gujarat,204,16.0,
11,Haryana,198,3.0,
12,Himachal Pradesh,20,1.0,
13,Jammu and Kashmir,162,4.0,
14,Jharkhand,13,0.0,
15,Karnataka,209,5.0,
16,Kerala,428,2.0,
17,Ladakh,24,0.0,
18,Madhya Pradesh,259,16.0,
19,Maharashtra,1252,72.0,
20,Manipur,3,0.0,
21,Mizoram,1,0.0,
22,Odisha,44,1.0,
23,Puducherry,6,0.0,
24,Punjab,105,8.0,
25,Rajasthan,404,3.0,
26,Tamil Nadu,759,8.0,
27,Telengana,477,7.0,
28,Tripura,1,0.0,
29,Uttarakhand,40,0.0,
30,Uttar Pradesh,441,4.0,
31,West Bengal,119,5.0,
Total number of confirmed cases in India,5865*,647,,
